(Kind,code,score,name,professor,week,start_time,end_time)

교필,927283-01,2,사고와표현,정연희,수,09:30:00,11:30:00
교필,927283-02,2,사고와표현,임보연,수,09:30:00,11:30:00
교필,927283-03,2,사고와표현,김도환,수,09:30:00,11:30:00
교필,927283-04,2,사고와표현,정연희,월,09:30:00,11:30:00
교필,927283-05,2,사고와표현,박동근,월,09:30:00,11:30:00
교필,927283-06,2,사고와표현,김도환,월,09:30:00,11:30:00
교필,927283-07,2,사고와표현,정연희,화,11:30:00,13:30:00
교필,927283-08,2,사고와표현,정연희,목,09:30:00,11:30:00
교필,927283-09,2,사고와표현,박동근,목,09:30:00,11:30:00
교필,927283-10,2,사고와표현,김연희,목,09:30:00,11:30:00
교필,927283-11,2,사고와표현,김연희,화,09:30:00,11:30:00
교필,927283-12,2,사고와표현,신유식,화,09:30:00,11:30:00
교필,927283-13,2,사고와표현,박동근,화,11:30:00,13:30:00
교필,927283-14,2,사고와표현,김연희,화,11:30:00,13:30:00
교필,927283-15,2,사고와표현,신유식,화,11:30:00,13:30:00
교필,927283-16,2,사고와표현,박동근,목,11:30:00,13:30:00
교필,927283-17,2,사고와표현,김연희,목,11:30:00,13:30:00
교필,927283-18,2,사고와표현,신유식,목,11:30:00,13:30:00
교필,927283-19,2,사고와표현,임보연,목,09:30:00,11:30:00
교필,927283-20,2,사고와표현,신유식,목,09:30:00,11:30:00
교필,927283-21,2,사고와표현,김도환,월,11:30:00,13:30:00
교필,927283-22,2,사고와표현,김도환,수,11:30:00,13:30:00
교필,927283-23,2,사고와표현,임보연,화,09:30:00,11:30:00
교필,927283-24,2,사고와표현,김도환,화,09:30:00,11:30:00
교필,927283-25,2,사고와표현,박동근,화,09:30:00,11:30:00
교필,927283-26,2,사고와표현,임보연,화,11:30:00,13:30:00
교필,927283-27,2,사고와표현,김도환,화,11:30:00,13:30:00
교필,927284-01,2,영어읽기와토론,변효정,월,16:30:00,18:25:00
교필,927284-02,2,영어읽기와토론,나병모,월,12:30:00,14:30:00
교필,927284-03,2,영어읽기와토론,김한규,금,09:30:00,11:30:00
교필,927284-04,2,영어읽기와토론,김한규,금,11:30:00,13:30:00
교필,927284-05,2,영어읽기와토론,임도현,화,09:30:00,11:30:00
교필,927284-06,2,영어읽기와토론,김한규,화,09:30:00,11:30:00
교필,927284-07,2,영어읽기와토론,김한규,월,09:30:00,11:30:00
교필,927284-08,2,영어읽기와토론,변효정,월,11:30:00,13:30:00
교필,927284-09,2,영어읽기와토론,임도현,월,11:30:00,13:30:00
교필,927284-10,2,영어읽기와토론,김한규,월,11:30:00,13:30:00
교필,927284-11,2,영어읽기와토론,임도현,목,09:30:00,11:30:00
교필,927284-12,2,영어읽기와토론,변효정,목,09:30:00,11:30:00
교필,927284-13,2,영어읽기와토론,김한규,목,09:30:00,11:30:00
교필,927284-14,2,영어읽기와토론,변효정,목,11:30:00,13:30:00
교필,927284-15,2,영어읽기와토론,김한규,목,11:30:00,13:30:00
교필,927284-16,2,영어읽기와토론,임도현,목,11:30:00,13:30:00
교필,927284-17,2,영어읽기와토론,임도현,화,11:30:00,13:30:00
교필,927284-18,2,영어읽기와토론,김한규,화,11:30:00,13:30:00
교필,927284-19,2,영어읽기와토론,변효정,화,11:30:00,13:30:00
교필,927284-20,2,영어읽기와토론,임도현,수,11:30:00,13:30:00
교필,927284-21,2,영어읽기와토론,김한규,수,11:30:00,13:30:00
교필,927284-22,2,영어읽기와토론,변효정,수,11:30:00,13:30:00
교필,927284-23,2,영어읽기와토론,임도현,수,09:30:00,11:30:00
교필,927284-24,2,영어읽기와토론,김한규,수,09:30:00,11:30:00
교필,927313-01,2,컴퓨팅사고와문제해결,박효진,수,09:30:00,11:30:00
교필,927313-02,2,컴퓨팅사고와문제해결,김선경,월,09:30:00,11:30:00
교필,927313-03,2,컴퓨팅사고와문제해결,박효진,월,09:30:00,11:30:00
교필,927313-04,2,컴퓨팅사고와문제해결,김선경,금,11:30:00,13:30:00
교필,927313-05,2,컴퓨팅사고와문제해결,김선경,금,09:30:00,11:30:00
교필,927313-06,2,컴퓨팅사고와문제해결,김선경,월,11:30:00,13:30:00
교필,927313-07,2,컴퓨팅사고와문제해결,박효진,월,11:30:00,13:30:00
교필,927313-08,2,컴퓨팅사고와문제해결,박효진,화,09:30:00,11:30:00
교필,927313-09,2,컴퓨팅사고와문제해결,김상오,화,11:30:00,13:30:00
교필,927313-10,2,컴퓨팅사고와문제해결,이윤정,수,09:30:00,11:30:00
교필,927313-11,2,컴퓨팅사고와문제해결,김지연,수,11:30:00,13:30:00
교필,927313-12,2,컴퓨팅사고와문제해결,김지연,화,11:30:00,13:30:00
교필,927313-13,2,컴퓨팅사고와문제해결,김선경,화,11:30:00,13:30:00
교필,927313-14,2,컴퓨팅사고와문제해결,박효진,화,11:30:00,13:30:00
교필,927313-15,2,컴퓨팅사고와문제해결,김지연,수,09:30:00,11:30:00
교필,927313-16,2,컴퓨팅사고와문제해결,김선경,수,09:30:00,11:30:00
교필,927313-17,2,컴퓨팅사고와문제해결,김상오,수,09:30:00,11:30:00
교필,927313-18,2,컴퓨팅사고와문제해결,김지연,목,11:30:00,13:30:00
교필,927313-19,2,컴퓨팅사고와문제해결,김상오,목,11:30:00,13:30:00
교필,927313-20,2,컴퓨팅사고와문제해결,이윤정,목,11:30:00,13:30:00
교필,927313-21,2,컴퓨팅사고와문제해결,김지연,목,09:30:00,11:30:00
교필,927313-22,2,컴퓨팅사고와문제해결,김상오,목,09:30:00,11:30:00
교필,927313-23,2,컴퓨팅사고와문제해결,김상오,수,11:30:00,13:30:00
교필,927313-24,2,컴퓨팅사고와문제해결,이윤정,수,11:30:00,13:30:00
교필,927313-25,2,컴퓨팅사고와문제해결,이윤정,목,09:30:00,11:30:00
교필,927313-26,2,컴퓨팅사고와문제해결,김지연,화,09:30:00,11:30:00
교필,927313-27,2,컴퓨팅사고와문제해결,김선경,화,09:30:00,11:30:00
교필,927430-01,2,대순사상과상생윤리,최치봉,월,11:30:00,13:30:00
교필,927430-02,2,대순사상과상생윤리,최치봉,수,09:30:00,11:30:00
교필,927430-03,2,대순사상과상생윤리,김대현,월,09:30:00,11:30:00
교필,927430-04,2,대순사상과상생윤리,김대현,월,11:30:00,13:30:00
교필,927430-05,2,대순사상과상생윤리,김대현,수,09:30:00,11:30:00
교필,927430-06,2,대순사상과상생윤리,김대현,수,11:30:00,13:30:00
교필,927430-07,2,대순사상과상생윤리,김의성,수,12:30:00,14:30:00
교필,927430-08,2,대순사상과상생윤리,김의성,목,09:30:00,11:30:00
교필,927430-09,2,대순사상과상생윤리,김의성,목,12:30:00,14:30:00
교필,927430-10,2,대순사상과상생윤리,김의성,금,09:30:00,11:30:00
교필,927430-11,2,대순사상과상생윤리,김태수,목,09:30:00,11:30:00
교필,927430-12,2,대순사상과상생윤리,김태수,목,11:30:00,13:30:00
교필,927430-13,2,대순사상과상생윤리,김태수,금,09:30:00,11:30:00
교필,927430-14,2,대순사상과상생윤리,김태수,금,11:30:00,13:30:00
교필,927430-15,2,대순사상과상생윤리,연영흠,화,09:30:00,11:30:00
교필,927430-16,2,대순사상과상생윤리,연영흠,화,12:30:00,14:30:00
교필,927430-17,2,대순사상과상생윤리,연영흠,목,09:30:00,11:30:00
교필,927430-18,2,대순사상과상생윤리,연영흠,목,12:30:00,14:30:00
교필,927430-19,2,대순사상과상생윤리,황희연,화,09:30:00,11:30:00
교필,927430-20,2,대순사상과상생윤리,황희연,화,11:30:00,13:30:00
교필,927430-21,2,대순사상과상생윤리,나권수,월,09:30:00,11:30:00
